YEAR,BRAND,MODEL,KMs_DRIVEN,FUEL_TYPE,OWNER,PRICE,CITY,MONTHLY_EMI
2011,Maruti,Alto K10,"59,954",Petrol,1st,"1,68,000",Ahmedabad,"3,284"
2014,Maruti,Alto 800,"7,824",Petrol,1st,"2,41,000₹2,50,000",Ahmedabad,"4,712"
2010,Maruti,Zen Estilo,"82,224",Petrol,1st,"1,50,000₹1,57,000",Ahmedabad,"2,933"
2012,Maruti,Swift,"72,383",Petrol,2nd,"3,54,000₹3,62,000",Ahmedabad,"6,921"
2019,Maruti,New Wagon-R,"20,945",Petrol,1st,"5,54,000₹5,95,000",Ahmedabad,"10,831"
2022,Maruti,Alto,"35,503",CNG,1st,"5,07,000",Ahmedabad,"9,912"
2018,Maruti,Eeco,"57,011",CNG,1st,"4,73,000",Ahmedabad,"9,247"
2022,Maruti,Alto,"10,221",Petrol,1st,"4,26,000₹4,32,000",Ahmedabad,"8,328"
2018,Maruti,IGNIS,"89,530",CNG,1st,"4,49,000₹4,74,000",Ahmedabad,"8,778"
2015,Maruti,Alto 800,"1,21,783",Petrol,1st,"2,27,000₹2,36,000",Ahmedabad,"4,438"
2012,Maruti,Swift,"1,14,919",Diesel,3rd,"3,08,000₹3,26,000",Ahmedabad,"6,021"
2012,Maruti,Swift Dzire,"1,19,603",Petrol,3rd,"3,20,000₹3,39,000",Ahmedabad,"6,256"
2021,Maruti,Vitara Brezza,"27,815",Petrol,2nd,"7,98,000₹8,55,000",Ahmedabad,"15,601"
2022,Maruti,Ciaz,"7,536",Petrol,1st,"11,01,000₹11,76,000",Ahmedabad,"20,957"
2014,Maruti,Wagon R 1.0,"94,458",Petrol,2nd,"2,96,000₹3,29,000",Ahmedabad,"5,787"
2018,Maruti,Eeco,"75,399",Petrol,1st,"4,02,000₹4,17,000",Ahmedabad,"7,859"
2012,Maruti,Swift Dzire,"1,16,202",Petrol,1st,"3,34,000₹3,44,000",Ahmedabad,"6,530"
2019,Maruti,Eeco,"30,023",Petrol,1st,"4,73,000",Ahmedabad,"9,247"
2022,Maruti,Ciaz,"7,815",Petrol,1st,"10,68,000₹11,41,000",Ahmedabad,"20,328"
2014,Maruti,Swift,"94,636",Petrol,2nd,"3,82,000₹3,99,000",Ahmedabad,"7,468"
2010,Honda,City,"73,789",Petrol,3rd,"2,30,000₹2,46,000",Ahmedabad,"4,497"
2019,Honda,Civic,"36,576",Petrol,1st,"16,23,000₹16,86,000",Ahmedabad,"30,892"
2022,Honda,Jazz,"5,581",Petrol,2nd,"10,42,000",Ahmedabad,"19,834"
2017,Honda,Jazz,"55,173",Petrol,2nd,"4,52,000₹5,03,000",Ahmedabad,"8,837"
2014,Honda,Brio,"75,029",Petrol,2nd,"3,66,000₹3,80,000",Ahmedabad,"7,155"
2015,Honda,Jazz,"74,494",CNG,2nd,"3,58,300₹3,79,000",Ahmedabad,"7,005"
2019,Honda,Amaze,"43,774",Petrol,1st,"5,76,000₹5,90,000",Ahmedabad,"11,261"
2015,Honda,Jazz,"1,12,010",Petrol,2nd,"3,95,000₹4,03,000",Ahmedabad,"7,722"
2021,Honda,Amaze,"1,01,603",Petrol,1st,"5,23,000₹5,75,000",Ahmedabad,"10,225"
2019,Honda,Amaze,"29,929",Petrol,1st,"6,87,000₹7,44,000",Ahmedabad,"13,431"
2011,Honda,City,"1,14,079",Petrol,1st,"3,34,000₹3,50,000",Ahmedabad,"6,530"
